technical_name,business_name,status,products,rb_datasets,api_feeds,definition
cntra_cost,Contract Cost,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,omni_sales,omni_sales;omni_sales_new,"Product cost recouped from vendors (owned or DSV) for returns, refunds or replacements. For Walmart, assumed 100% recovery for returns to return centers. For store this is Null."
cntrl_substance_ind,Controlled Substance Indicator,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_inventory;ecomm_sales;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,item_attributes;item_dimensions;product_dimensions,"Indicates if an item is made up of a controlled substance. A controlled substance is a drug or chemical whose manufacture, possession and use are regulated by a government. For example, this may include prescription medications and precursor chemicals used for the production of illegal drugs."
cntrt_carrier_ind,Contract Carrier Indicator,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order;purchase_order_stock_transfer,"Means that a freight carrier that Walmart has a contract with will be hauling the merchandise from the Vendor to the DC. Walmart will be paying an outside carrier to do the move, as opposed to Walmart’s private fleet moving the merchandise."
cntry_nm,Country Name,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,item_attributes;item_dimensions,This is the textual identifier for a country.
cnty_nm,County Name,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,dc_dimensions;store_dimensions,This is the textual identifier for a county.
co_managed_ind,Co Managed Indicator,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order,Indicates the purchase order (PO) is created by a co-managed supplier.
coborns_delivers_og_ind,Coborns Online Grocery,APPROVED,2:Customer Perception,,,Self-identification by the panelist that they have used Coborns Online grocery.
coll_rdy_pct,Collect Ready Percent,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif;otif_(decommissioned),Number of vendor pack quantity in Collect Ready accountability bucket.(Collect cases routed on time and ready for pickup/collect cases received).
collect_early_vnpk_qty,Collect Early Cases,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif,Number of vendor pack quantity in Collect Early accountability bucket.
collect_early_vnpk_qty,Collect Early Vendor Pack Quantity,APPROVED,9:API Glossary,,otif_(decommissioned),Number of vendor pack quantity in Collect Early accountability bucket.
collect_late_vnpk_qty,Collect Late Cases,APPROVED,5:BI Link;9:API Glossary,omni_otif,omni_otif;otif_(decommissioned),Number of vendor pack quantity in Collect Late accountability bucket.
collect_ready_charges,Collect Ready Charges,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif,Amount of collect ready charges from the Supplier/PO level for admin/business reasons.
collect_ready_rcv_vnpk_qty,Collect Receive Vendor Pack Quantity,APPROVED,13:Report Builder,,,Number of collect vendor pack quantity received (excludes any non-compliant Walmart accountable vendor pack quantity)
collect_ready_vnpk_qty,Collect Ready Cases,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif;otif_(decommissioned),Number of vendor pack quantity in Collect Ready accountability bucket. Providing a calculated column: Received qty – (Late Routing Cases + Supplier Ship Point Cases).
collect_ready_vnpk_qty,Collect Ready Vendor Pack Quantity,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif,"This metric measures the number of vendor packs that are ready for collection in the supply chain process. It specifically accounts for the vendor packs that have been received and are available for pickup, after excluding those that were delayed due to late routing or shipped from the supplier's ship point instead of the planned route.Calculation: Collect Ready Vendor Pack Quantity = Received Quantity – (Late Routing Cases + Supplier Ship Point Cases)"
collect_supplier_fault_qty,Collect Ready Supplier Faulty Quantity,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif,This is the collect ready non-compliant vendor pack quantity.
collect_supplier_owned_cogs,Supplier Affected COGs,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif;otif_(decommissioned),Total cost of supplier owned non-compliant vendor pack quantity.
collect_unsched_vnpk_qty,Collect Unscheduled Cases,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif;otif_(decommissioned),Number of vendor pack in Collect Unscheduled accountability bucket.
color_desc,Color Description,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_sales;future_valid_item_store;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,item_attributes;item_dimensions,Color Description also called as Shelf Label 1 Desc is a 6-character description that is transmitted to the store and printed on the shelf label.
commodity_id,Commodity ID,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,item_attributes;item_dimensions;oms_po_details;purchase_order_alloc_order;purchase_order_line,"A number that uniquely identifies a perishable good transported by Walmart. Examples include: Apples, Melons, Nuts, Floral Leafy Greens, etc."
compliance_not_elig_ind,Compliance Not Eligible Indicator,APPROVED,5:BI Link;9:API Glossary,,digital_transactability,Indicates that the item is not eligible due to legal regulations/compliance. Values are 0 and 1.
cons_item_desc,Consumer Item Description,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_sales;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,item_attributes;item_dimensions,This is the description provided for a consumer item number.
