technical_name,business_name,status,products,rb_datasets,api_feeds,definition
sales_amt,POS Sales Pickup,APPROVED,13:Report Builder,custom_datasets;store_sales_&amp,,Point of Sale (POS) Sales is the dollar amount of sales for a specific item number that is scanned at a store level register. This is Pickup channel only data.
sales_amt,POS Sales Pickup YoY Change%,APPROVED,13:Report Builder,custom_datasets;store_sales_&amp,,Point of Sale (POS) Sales is the dollar amount of sales for a specific item number that is scanned at a store level register. This is Pickup channel only data.Year over year change percentage for POS Sales Pick up = (pos\_pickup\_sales\_last\_year - pos\_pickup\_sales\_this\_year) / pos\_pickup\_sales\_last\_year
sales_amt,POS Sales Pickup YoY Difference,APPROVED,13:Report Builder,custom_datasets;store_sales_&amp,,Point of Sale (POS) Sales is the dollar amount of sales for a specific item number that is scanned at a store level register. This is Pickup channel only data.Year over year difference for POS Sales Pickup = pos\_pickup\_sales\_last\_year - pos\_pickup\_sales\_this\_year
sales_amt,POS Sales SFS,APPROVED,13:Report Builder,custom_datasets;store_sales_&amp,,Point of Sale (POS) Sales is the dollar amount of sales for a specific item number that is scanned at a store level register. This is SFS (Ship from Store) channel only data.
sales_amt,POS Sales SFS YoY Change%,APPROVED,13:Report Builder,custom_datasets;store_sales_&amp,,Point of Sale (POS) Sales is the dollar amount of sales for a specific item number that is scanned at a store level register. This is SFS (Ship from Store) channel only data.Year over year change percentage for POS Sales SFS = (pos\_sfs\_sales\_last\_year - pos\_sfs\_sales\_this\_year) / pos\_sfs\_sales\_last\_year
sales_amt,POS Sales SFS YoY Difference,APPROVED,13:Report Builder,custom_datasets;store_sales_&amp,,Point of Sale (POS) Sales is the dollar amount of sales for a specific item number that is scanned at a store level register. This is SFS (Ship from Store) channel only data.Year over year difference for POS Sales SFS = pos\_sfs\_sales\_last\_year - pos\_sfs\_sales\_this\_year
sales_amt,POS Sales YoY Change%,APPROVED,13:Report Builder,custom_datasets;store_sales_&amp,,"Point of Sale (POS) Sales is the dollar amount of sales for a specific item number that is scanned at a store level register from all fulfillment channels - BIS (Buy in store), Pick-up, Delivery and SFS (Ship from store). It also includes all returns (total store returns) at the store level.Year over year change percentage for POS Sales = (pos\_sales\_last\_year - pos\_sales\_this\_year) / pos\_sales\_last\_year"
sales_amt,POS Sales YoY Difference,APPROVED,13:Report Builder,custom_datasets;store_sales_&amp,,"Point of Sale (POS) Sales is the dollar amount of sales for a specific item number that is scanned at a store level register from all fulfillment channels - BIS (Buy in store), Pick-up, Delivery and SFS (Ship from store). It also includes all returns (total store returns) at the store level.Year over year difference for POS Sales = pos\_sales\_last\_year - pos\_sales\_this\_year"
sales_amt,POS Sales in dollars,APPROVED,13:Report Builder,vendor_scorecard,,"Point of Sale (POS) Sales is the dollar amount of sales for a specific item number that is scanned at a store level register. Corresponds to POS quantity; includes all returns (total store returns) at store level. If there are no sales on an item but there are returns, then this value shows up as a negative sales amount."
sales_amt,POS Sales in units,APPROVED,13:Report Builder,vendor_scorecard,,"Point of Sale (POS) Sales is the unit amount of sold for a specific item number that is scanned at a store level register. Corresponds to POS sales in dollars; includes all returns (total store returns) at store level. If there are no units sold for an item but there are returns, then this value shows up as a negative unit amount."
sales_amt,Sales Amount,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,store_customer_returns;store_sales;store_sales_new;upc_sales,The total retail amount charged of each distinct item in a register transaction. This amount is in Dollars.
sales_amt,Store Sales in dollars,APPROVED,13:Report Builder,vendor_scorecard,,Point of Sale (POS) Sales is the dollar amount of sales for a specific item number that is scanned at a store level register
sales_fcst_unavlbl_score_val,Sales Forecast Unavailable Score Value,APPROVED,5:BI Link;9:API Glossary,,digital_transactability,The percent of the current day that the item was unavailable to sell due to sales forecast setting ats (available to sale) to zero.
sales_unit_qty,Sales Quantity,APPROVED,5:BI Link;9:API Glossary,,upc_sales,"This is the Unit Quantity sold for a Store, UPC, WM\_YR\_WK combination."
sample_po_ind,Sample Purchase Order Indicator,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order_line,This indicates if this purchase order (PO) line item ordering is for a sample buy.
sb_chnl_nm,Service Channel,APPROVED,3:Cloud Feeds;5:BI Link;7:Channel Performance Insights;9:API Glossary;13:Report Builder,bottle_deposit;ecomm_sales;omni_sales,omni_sales;omni_sales_new;store_sales;store_sales_new;upc_sales,"The channel through which the order is fulfilled.If the order is placed online and fulfilled in the store, then it would have one of these values - DELIVERY, PICKUP, or SFS (Ship From Store). If it is not fulfilled in the store then it would have one of these values - S2H (Ship to Home) or S2S (Ship to Store).If the purchase was done in store and fulfilled by the store then it will have BIS (Buy in Store) as a service channel. Please see each channel (DELIVERY, PICKUP, SFS, S2H AND S2S) for more information."
sbu_nm,Strategic Business Unit Name,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif,The name of the Strategic Business UnitE.g.:HOMECONSUMABLESAPPARELFOODHARDLINESENTERTAINMENT TOYS AND SEASONALUNASSIGNEDEVERYDAY LIVINGHEALTH AND WELLNESSWALMART SERVICESENTERTAINMENTENTHUSIAST AND PROFESSIONALPACKAGED GOODSSNACKS BEVERAGES AND IMPULSEFRESHPANTRYCHILLED ALCOHOL AND CONVENIENCE
scac_cd,SCAC Code,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order;purchase_order_stock_transfer,Identifier for a carrier. SCAC is an acronym for Standard Carrier Abbreviation Code.
scan_cnt,Scan Count,APPROVED,3:Cloud Feeds;9:API Glossary;13:Report Builder,custom_datasets;store_sales_&amp,store_customer_returns;store_sales;store_sales_new,"Number of an item physically scanned in a register transaction. Note that this does not always reflect the number sold of that item because if a cashier uses the register's quantity key to enter the number of a given item being bought and then just scans one of them, scan_cnt will equal 1 on that item. Use unit_qty to get actual number of items sold."
scan_cnt,Scan Count - Last Year,APPROVED,5:BI Link,,store_sales,"Depending on the Service Channel this Scan\_cnt will be populated with either:\- BIS : Bought in Store. Indicates the number of items scanned at the store's POS point of sale.\- Delivery: indicates the number of items ordered on-line and fulfilled via delivery.\- Pickup: indicates the number of items ordered online and picked up at store.\- SFS: indicates the number of items ordered online and shipped from store. Note that this does not always reflect the number sold of that item because if a cashier uses the register's quantity key to enter the number of a given item being bought and then just scans one of them, scan\_cnt will equal 1 on that item. Use unit\_qty to get actual number of items sold."
scan_cnt,Scan Count - This Year,APPROVED,5:BI Link,,store_sales,"Depending on the Service Channel this Scan\_cnt will be populated with either:\- BIS : Bought in Store. Indicates the number of items scanned at the store's POS point of sale.\- Delivery: indicates the number of items ordered on-line and fulfilled via delivery.\- Pickup: indicates the number of items ordered online and picked up at store.\- SFS: indicates the number of items ordered online and shipped from store. Note that this does not always reflect the number sold of that item because if a cashier uses the register's quantity key to enter the number of a given item being bought and then just scans one of them, scan\_cnt will equal 1 on that item. Use unit\_qty to get actual number of items sold."
scan_id,Scan ID,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,store_markup_and_markdowns,mumd;store_customer_returns,This is an identifier for the scan type sold in a register transaction.
scan_type,Scan type,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,store_customer_returns,Indicates type of item sold.Possible Values –0 Corporate Item1 Department Number Hand-Keyed Sale2 Local Store Item aka 70-Type Item (Wmt only)3 Rx Item (no item details available in DL due to privacy restrictions)4 Old Number (explanation needed)
scan_type_cd,Scan Type Code,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,store_markup_and_markdowns,mumd,Identifies the information in the scan id (item identifier) for this scan. Values: 0 = mds fam id (Corporate Item) 1 = Dept Nbr (Dept Nbr Hand Keyed [Dept Ring]) 2 = Local Store Item Nbr (Item created at the store and starts with 70) 3 = rx\_nbr (Pharmacy Prescription 4 = Store Item Nbr (No mds fam id found) 7 = Shipping Cost for WM Online (0 stored in scan\_id).
schdl_nil_pick_qty,Scheduled Nil Pick Quantity,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;store_sales_&amp,store_fulfillment,The number of units not picked or substituted by a store for a scheduled order.Example:wm\_item\_nbr store\_nbr schdl\_nil\_pick\_qty 123 10 3 schdl\_nil\_pick\_rate 42.86 schdl\_nil\_pick\_rate\_nmrtr 3 schdl\_nil\_pick\_rate\_dnmntr 7
schdl_nil_pick_rate,Scheduled Nil Pick Rate,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;store_sales_&amp,store_fulfillment,The percentage of items that were not fulfilled for scheduled orders. This is reported in a percent.Calculation: (Scheduled Nil Pick Rate Numerator) / (Scheduled Nil Pick Rate Denominator)Example:wm\_item\_nbr store\_nbr schdl\_nil\_pick\_qty 123 10 3 schdl\_nil\_pick\_rate 42.86 schdl\_nil\_pick\_rate\_nmrtr 3 schdl\_nil\_pick\_rate\_dnmntr 7
schdl_nil_pick_rate_dnmntr,Scheduled Nil Pick Rate Denominator,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;store_sales_&amp,store_fulfillment,The quantity of actual items ordered in scheduled orders excluding cancelled items (in scheduled orders) prior to dispense.Example:wm\_item\_nbr store\_nbr schdl\_nil\_pick\_qty 123 10 3 schdl\_nil\_pick\_rate 42.86 schdl\_nil\_pick\_rate\_nmrtr 3 schdl\_nil\_pick\_rate\_dnmntr 7
schdl_nil_pick_rate_nmrtr,Scheduled Nil Pick Rate Numerator,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;store_sales_&amp,store_fulfillment,The units not picked or substituted by a store for a scheduled order.Example:wm\_item\_nbr store\_nbr schdl\_nil\_pick\_qty 123 10 3 schdl\_nil\_pick\_rate 42.86 schdl\_nil\_pick\_rate\_nmrtr 3 schdl\_nil\_pick\_rate\_dnmntr 7
sched_arvl_dt,Scheduled Arrival Date,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,order_forecast;purchase_order,oms_po_details;order_demand_forecast;purchase_order_alloc_order,The shipment date recommended for the order to be delivered on time. This can be from the vendor or DC.
sched_arvl_tm,Scheduled Arrival Time,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order_alloc_order,The time the merchandise is scheduled to arrive at the receiving DC. Example: 12:00:00
sched_ship_dt,Scheduled Ship Date,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,order_forecast;purchase_order,oms_po_details;order_demand_forecast;purchase_order_alloc_order,The date an order is scheduled to ship.
sched_ship_tm,Scheduled Ship Time,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order_alloc_order,The time the merchandise is scheduled to ship from the DC or store. Example: 12:00:00
scndry_bnfcy_id,Secondary Beneficiary ID,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order,Import Secondary Beneficiary ID identifies the company that is the secondary beneficiary for the liability insurance of the purchase order (PO) merchandise in the import system.
score_nbr,Score Number,APPROVED,9:API Glossary,,ecomm_product_content_score,This is the score given to an attribute or a content attribute rule. Example: 0 1 0.604 0.865 0.705 0.966
seasn_cd,Season Code,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_sales;future_valid_item_store;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,item_attributes;item_dimensions,"The textual description of the season code. Examples: Spring, Summer, Winter, Fall"
seasn_desc,Season Description,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_sales;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,item_attributes;item_dimensions,"The textual description of the season code. Examples: Spring, Summer, Winter, Fall"
seasn_yr,Season Year,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_sales;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,item_attributes;item_dimensions,"This is used with the season code to help identify items that are for a yearly season. Examples: Fall of 2004, Winter of 2003 or Spring of 2005."
seasonal_not_elig_ind,Seasonal Not Eligible Indicator,APPROVED,5:BI Link;9:API Glossary,,digital_transactability,Indicates that the item is not eligible due to seasonal reasons. Values are 0 and 1.
secur_tag_ind,Electronic Security Tag Indicator,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_sales;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,item_attributes;item_dimensions,"Indicates whether or not an item is secured via an electronic tag (in our case, an Electronic Author Surveillance tag in the form of an electronic barcode) supplied by the merchandise vendor. If the electronic tag is not deactivated at a point-of-sale register, the tag will be sensed by security equipment at a store entrance/exit and result in an alarm. The use of the electronic tag is intended to reduce theft of merchandise from the stores. This is a ""Y""/""N"" indicator with a default value of ""N"" which means a specific item is not electronically secured."
seg_nbr,Segment Number,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,store_dimensions,"The number associated with the segment. A segment is the highest level of alignment for stores and clubs.e.g., 13 - Walmart US"
seg_nm,Segment Name,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,store_dimensions,The name associated with the segment. A segment is the highest level of alignment for stores and clubs.
segregation_cd,Segregation Code,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,item_attributes;item_dimensions,Used to classify items for slotting requirements to allow segregation of merchandise. Example: Human consumable items and should not be slotted below bleach.1 - General Handling2 – HBA Oral3 - Chemical4 - Contacts Food
segregation_desc,Segregation Description,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,item_attributes;item_dimensions,Description for the code used to classify items for slotting requirements to allow segregation of merchandise. Example: Human consumable items and should not be slotted below bleach.1 - General Handling2 – HBA Oral3 - Chemical4 - Contacts Food
sell_qty,Sell Quantity,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_sales;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,item_attributes;item_dimensions,Short for Selling Quantity of an item. This is used in unit price calculations for Price Comparisons. Example: The Retail Price of Peter Pan Crunchy Peanut Butter is $1.68. The Sell Qty is 17.6 OZ. The calculated price per oz is 9.60 cents.
sell_uom_cd,Sell Unit of Measure Code,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_sales;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,item_attributes;item_dimensions,"The Unit of Measure (UOM) of the Sell Qty. Note: This is not the UOM Sale Type. At this time, UOM Sale Type is not available in Report Builder."
sell_uom_desc,Sell Unit of Measure Description,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_sales;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,item_attributes;item_dimensions,"The Unit of Measure (UOM) description of the Sell Qty. Note: This is not the UOM Sale Type. At this time, UOM Sale Type is not available in Report Builder."
send_omit_cd,Send Omit Code,APPROVED,5:BI Link;9:API Glossary,,all_traits;item_future_trait;item_trait,Used to determine whether an item will be sent to a store. These traits are used in combination to determine the stores where the item should be sent.
send_store_dt,Send to Store Date,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,item_attributes;item_dimensions,"The date the item information is sent to the store. The item will be loaded into the store's item file after the evening batch process. At item creation the Send Store Date must be <= Item Effective Date. The item is sent to the store before it can be reordered. In Hardlines and Grocery the default is Today + 1 to allow review. In Softlines the default is Today (no review is needed since Softline Items are not traited and classed).At item maintenance, for active items, the Send to Store Date can be changed only if the current value is in the future. No past dates are allowed. The Send to Store date is updated when the Item Status has changed from Delete or Inactive to Active. Note: If an item has not reached a send to store date, it will not go into a stores file to scan. It is one of the tools that ""can"" be used to control an item when necessary."
sendtraits,Send Trait,APPROVED,13:Report Builder,store_sales_&amp,,"This represents what stores the traited item should be sent to or should be valid for. It is represented as (“Trait\_nbr” ++ “Trait\_connect\_cd” ++ “Trait\_nbr”) as per the order of sequence provided in ""Trait\_Seq\_Nbr"" where “Send\_Omit\_Cd” = ‘S’."
sesnl_ind,Seasonal Indicator,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order_line,This indicates if this purchase order (PO) line item ordering is for a seasonal buy.
shelf_cpcty_qty,Shelf Capacity Quantity,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;modular_plan_metrics,modular_plan_upc,The quantity used in the picklist to bring in product from the back room for stocking the shelves. The store is allowed to change this number and it does not affect the replenishment system.
shelf_lbl_reqmt_ind,Shelf Label Requirement Indicator,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_sales;modular_plan_metrics;omni_otif;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,item_attributes;item_dimensions,"The Shelf Label Requirement Indicator (i.e., Shelf Label Print flag) was used to determine if labels were produced for an item. It is currently being used by Modulars to determine if the item is to be sequenced (associated with a modular)."
shelf_life_dys_qty,Shelf Life Days Qty,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,item_attributes;item_dimensions,The minimum number of days that must remain in the life of the product in order to receive it at the store. NOTE: This data is critical in Grocery distribution centers (DC) for both the receiving and picking functions.
shelf_rotation_ind,Shelf Rotation Indicator,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,item_attributes;item_dimensions,"Indicates that this item should be stocked at the store with the older merchandise toward the front of the shelf and the newer merchandise toward the back of the shelf. This is used for products that have a ""Best if Used by"" date.Examples include Milk, Batteries, Medicated Shampoo and Cosmetics. An indicator of 'Y' will cause a symbol to be printed on the Shelf Label notifying the store associates to rotate the merchandise appropriately."
ship_base_net_qty,Shipped Based Net Quantity,APPROVED,13:Report Builder,bottle_deposit,,"Shipped based Units net of cancellations and returns last year. Subtracts fully refunded ""keep it refunds"" where the customer was refunded but not required to actually return, e.g., in the case of a lost delivery or damaged low price item."
ship_each_qty,Ship Each Quantity,APPROVED,3:Cloud Feeds;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics,dc_item_measures,"Total, in eaches, shipped by the DC to stores. DC also considers this as sales. Calculated as ship\_whpk\_qty \* whpk\_each\_qty."
ship_each_qty,Ship Each Quantity - Last Year,APPROVED,5:BI Link,,dc_item_measures,"Total, in eaches, shipped by the DC to stores, last year. DC also considers this as sales. Calculated as ship\_whpk\_qty \* whpk\_each\_qty."
ship_each_qty,Ship Each Quantity - This Year,APPROVED,5:BI Link,,dc_item_measures,"Total, in eaches, shipped by the DC to stores, this year. DC also considers this as sales. Calculated as ship\_whpk\_qty \* whpk\_each\_qty."
ship_node_org_cd,Ship Node Organization Code,APPROVED,3:Cloud Feeds;9:API Glossary;13:Report Builder,bottle_deposit;ecomm_inventory,ecomm_inventory,"A unique code for identifying the organization (DC, store) that is shipping the product."
ship_point_cd,Ship Point Code,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif,Codes for Ship PointsExamples:22:Late Prenote40:Shipper Related/Incorrect InformationRC\_14:Shipper Held / Product not ReadyRC\_16:Late Inadequate AppointmentAM:Shipper Related/Incorrect InformationRC\_17:Late Prenote
ship_point_cd_desc,Ship Point Code Description,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif,The description of the Ship Point CodeExamples:22:Late Prenote40:Shipper Related/Incorrect InformationRC\_14:Shipper Held / Product not ReadyRC\_16:Late Inadequate AppointmentAM:Shipper Related/Incorrect InformationRC\_17:Late Prenote
ship_point_loc_fault_vnpk_qty,Supplier Ship Point Cases,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif;otif_(decommissioned),Number of vendor pack quantity in ship point location faulty accountability bucket.
ship_point_loc_fault_vnpk_qty,Ship Point location Fault Vendor Pack Quantity,APPROVED,13:Report Builder,,,Number of vendor pack quantity in ship point location faulty accountability bucket.
ship_whpk_rtl_amt,Ship Warehouse Pack Sell Amount,APPROVED,3:Cloud Feeds;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics,dc_item_measures,"The total Warehouse Pack shipment value, shipped by the DC to stores. DCs also consider this as sales. This amount is shown in dollars ($). Calculated as: ship_whpk_qty * whpk_sell_amt.whpk_sell_amt is the dollar amount a store pays the DC to purchase a warehouse pack of this item for this year. This does not include inbound freight cost and any additional DC charges. It is the value of the warehouse inventory as it is store by the warehouse.Note: This metric is AVG(), and not SUM(), for selected time period if pulled at Walmart weekly level."
ship_whpk_rtl_amt,Ship Warehouse Pack Sell Amount - Last Year,APPROVED,5:BI Link,,dc_item_measures,"The total Warehouse Pack shipment value, shipped by the DC to stores. DCs also consider this as sales, last year. This amount is shown in dollars ($). Calculated as: ship_whpk_qty * whpk_sell_amt.whpk_sell_amt is the dollar amount a store pays the DC to purchase a warehouse pack of this item for this year. This does not include inbound freight cost and any additional DC charges. It is the value of the warehouse inventory as it is store by the warehouse.Note: This metric is AVG(), and not SUM(), for selected time period if pulled at Walmart weekly level."
ship_whpk_rtl_amt,Ship Warehouse Pack Sell Amount - This Year,APPROVED,5:BI Link,,dc_item_measures,"The total Warehouse Pack shipment value, shipped by the DC to stores. DCs also consider this as sales, this year. This amount is shown in dollars ($). Calculated as: ship_whpk_qty * whpk_sell_amt.whpk_sell_amt is the dollar amount a store pays the DC to purchase a warehouse pack of this item for this year. This does not include inbound freight cost and any additional DC charges. It is the value of the warehouse inventory as it is store by the warehouse.Note: This metric is AVG(), and not SUM(), for selected time period if pulled at Walmart weekly level."
ship_whpk_rtl_amt,Ship Warehouse Pack Sell Amount EOP,APPROVED,13:Report Builder,dc_metrics,,"The total Warehouse Pack shipment value, shipped by the DC to stores. DCs also consider this as sales. This amount is shown in dollars ($). Calculated as: ship_whpk_qty * whpk_sell_amt.whpk_sell_amt is the dollar amount a store pays the DC to purchase a warehouse pack of this item for this year. This does not include inbound freight cost and any additional DC charges. It is the value of the warehouse inventory as it is store by the warehouse.Note: This metric is the 'End of Period' value for the selected time period: For Example: ‘Friday’ for WMT weeks."
shipt_og_ind,Shipt Online Grocery,APPROVED,2:Customer Perception,,,Indicates is Panelist uses Shipt Online Grocery
shlf_life_days_qty,Shelf Life Days Quantity,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order_line,The minimum number of days that must remain in the life of the product in order to receive it at the store. NOTE: This data is critical in Grocery distribution centers (DC) for both the receiving and picking functions.
shlflbl1_colr_desc,Shelf Label Color Description,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order_line,A 6-character description that is transmitted to the store and printed on the shelf label. This is also known as the Color Description. The name of this field is misleading for all hardline merchandise. It is in fact merely another 6-character description of the merchandise. In Softlines it is selected in the system from the variants available and should have true color meaning for apparel and shoes. Also transmitted to a third party for the preparation of merchandise price tags.
shlflbl2_size_desc,Shelf Label Size Description,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order_line,A 6-character description that is transmitted to the store and printed on the shelf label. The name of this field is misleading for all hardline merchandise. It is in fact merely another 6-character description of the merchandise. In Softlines it is selected in the BIF system from the variants available and should have true size meaning for apparel and shoes. Also transmitted to a third party for the preparation of merchandise price tags.
shop_desc,Shop Description,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,item_attributes;item_dimensions,"Used only in Softlines or the Shoes category and is a description for various groupings of clothing, i.e., Sportswear, Casual, etc. The Ticket description is created by combining the Fineline Number with the Shop Description."
short_whpk_qty,Short Warehouse Pack Quantity,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order_dc_receiver;purchase_order_dc_receiver_line,"The quantity, shipped in warehouse packs, that is less than the quantity recorded on the bill of lading."
shpd_based_gmv_amt,Shipped Based GMV Amount,APPROVED,3:Cloud Feeds;9:API Glossary,,omni_sales;omni_sales_new,"GMV (Gross Merchandise Value) is the actual amount collected from the customers. The revenue collected from the customer for transactions. It's the price of items after deducting savings/discounts, and adding shipping revenue. Shipped GMV is Authorized GMV excluding GMV for items cancelled by the seller or by the customer. This is the GMV amount based on the shipped based date. This amount is in shown in dollars. Note: For store channels (Delivery, Pickup, SFS, BIS), AUTH Based GMV, AUTH Based Net Sales, Shipped Based GMV, and Shipped Based Net Sales will all have the same value (i.e., the Net Sales amount). For Ecomm Channels (S2H , S2S) E.g.wm\_item\_nbr ty\_auth\_based\_gmv\_amt ty\_shpd\_based\_gmv\_amt 123456789 30 24ty\_auth\_based\_qty ty\_shpd\_based\_qty ty\_aur 5 4 6 Also see AUTH Based GMV Amount"
shpd_based_net_sales_amt,Shipped Based Net Sales Amount,APPROVED,3:Cloud Feeds;9:API Glossary,,omni_sales;omni_sales_new,"The net sales amount for all orders of an item shipped. Shipped Based Net Sales Amount is AUTH Based Net Sales Amount excluding Net Sales amount for items cancelled by the seller or by the customer. For warranties and in-house services, the Net Sales is Shipped Based GMV except for Product Cost, which essentially is the commission. This amount is shown in dollars. Note: For store channels (Delivery, Pickup, SFS, BIS), Authorized Based GMV, Authrorized Based Net Sales, Shipped Based GMV, and Shipped Based Net Sales will all have the same value (i.e., the Net Sales Amount). For Ecomm Channels (S2H , S2S) E.g. wm\_item\_nbr ty\_auth\_based\_net\_sales\_amt 123456789 50 ty\_shpd\_based\_net\_sales\_amt ty\_auth\_based\_qty 40 5 ty\_shpd\_based\_qty ty\_aur 4 10"
shpd_based_qty,Shipped Based Quantity,APPROVED,3:Cloud Feeds;9:API Glossary,,omni_sales;omni_sales_new,The number of units shipped. It excludes the number of units sold that were cancelled and/or returned. This quantity is shown in eaches. E.g. wm\_item\_nbr ty\_shpd\_based\_qty 123456789 4
shpg_chrg_amt,Current S2H Ship Charge,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,ecomm_inventory;omni_sales,product_dimensions,The current Ship to Home (S2H) charge is the amount Walmart is charging the customer for shipping for various shipping speeds. It gives the supplier an estimate of how much total money the customer must pay for that item or Walmart is investing in that item. Free shipping means Walmart is bearing the shipping cost and making a lower margin. All these factors are considered in cost negotiation.
shpg_chrg_amt,Shipping Charge Amount,APPROVED,9:API Glossary,,ecomm_subscriptions,The current Ship to Home (S2H) charge. It is the amount Walmart is charging the customer for shipping for various shipping speeds. It gives the supplier an estimate of how much total money the customer must pay for that item or that Walmart is investing in that item. Free shipping means Walmart is bearing the shipping cost and making a lower margin. All these factors are considered in cost negotiation. Could be for orders < $35 or customers who opted to speed up shipping.
shpg_chrg_cncl_amt,Shipping Charge Cancelled Amount,APPROVED,9:API Glossary,,ecomm_subscriptions,The amount a customer paid for shipping & fulfillment allocated to the line item cancelled. Could be for orders < $35 or customers who opted to speed up shipping.
shpg_chrg_plcd_amt,Shipping Charge Placed Amount,APPROVED,9:API Glossary,,ecomm_subscriptions,The amount a customer paid for shipping & fulfillment allocated to the line item for Placed orders. Could be for orders < $35 or customers who opted to speed up shipping.
